"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"5038","0452400","045240005","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",29,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"5050","0452632","045260004","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"5051","0452651","045260005","Tidak Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",25,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5075","0452951","045290007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",21,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5082","0452941","045294102","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",24,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"5088","0453000","045300006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",28,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"5089","0453000","045300007","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",24,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"5159","0461311","046131105","Tidak Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",23,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"5160","0461451","046140003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5165","0461551","046150004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5193","0461931","046193102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",29,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5206","0470141","047010006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5224","0470441","047040004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"5225","0470400","047040005","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"5226","0470400","047040007","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",21,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5228","0470441","047044102","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Perempuan",23,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5239","0470842","047080005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5240","0470800","047080006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Belum Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Ya"
"5256","0471241","047124102","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",16,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5263","0471311","047130005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",28,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5265","0470141","047130007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5269","0471341","047134102","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5278","0471500","047150004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"5287","0471652","047160006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",25,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5288","0471653","047160007","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Laki-laki",22,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5312","0472000","047200005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"5317","0472100","047210003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",22,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"5326","0472341","047230004","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"5343","0472531","047250006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5353","0472800","047280008","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5364","0473000","047300005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",27,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"5372","0480150","048010005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",17,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"5385","0480600","048060005","Tidak Mudah Bergaul","Sehat","Tinggi","Sangat taat","Laki-laki",19,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"5386","0480700","048070006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",19,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"5387","0480731","048073104","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"5389","0480900","048090005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",30,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Tidak"
"5393","0481051","048100004","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5394","0481041","048100005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"5395","0481000","048100006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",19,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"5405","0481200","048120007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",22,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5407","0481200","048120009","Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",17,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"5414","0481351","048130005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",28,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5417","0481351","048130014","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"5431","0481742","048170003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"5441","0481851","048180003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5450","0481941","048194102","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",27,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"5457","0482100","048210005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",29,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5460","0482200","048220006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"5463","0482351","048230003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",18,"Kawin","Tidak","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"5466","0482942","048290003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"5468","0482944","048290006","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Perempuan",21,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5482","0490200","049020005","Sangat Mudah Bergaul","Tidak Sehat","Sedang","Agak taat","Laki-laki",25,"Belum Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5499","0490851","049080003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",19,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"5506","0491000","049100006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5513","0491241","049120004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",22,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"5559","0492041","049200005","Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",21,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"5560","0492000","049200006","Sangat Mudah Bergaul","Tidak Sehat","Sedang","Agak taat","Laki-laki",18,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"5584","0500441","050040005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Ya"
"5586","0500441","050044102","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Sangat taat","Perempuan",29,"Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"5589","0500600","050060006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"5611","0501000","050100004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"5631","0501351","050130011","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",22,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5634","0501400","050140004","Tidak Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"5685","0511600","051160005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",16,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5704","0520500","052050004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",20,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"5718","0520931","052090004","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5719","0520931","052093106","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",27,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5733","0521351","052130004","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",17,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"5745","0521941","052190004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",29,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"5755","0530541","053054102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"5780","0531831","053180004","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Laki-laki",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"5786","0531951","053190003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5832","0541552","054150003","Tidak Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"5867","0550700","055070010","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",23,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"5877","0550800","055080004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"5884","0551100","055110008","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5887","0551142","055114202","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",24,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"5903","0551400","055140006","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",22,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5904","0551400","055140007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",21,"Belum Kawin","Ya","Di bawah SMA","Kota","Menggunakan Internet","Tidak"
"5914","0551500","055150012","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"5923","0551600","055160006","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",22,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"5924","0551600","055160007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"5931","0551942","055190008","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Laki-laki",29,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"5951","0560442","056040004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5956","0560442","056044201","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"5963","0560641","056060003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"5977","0560742","056074202","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"6015","0561243","056120009","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",18,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"6026","0561400","056140003","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",23,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"6028","0561442","056140006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"6032","0561451","056140013","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Sangat taat","Perempuan",19,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6035","0561455","056144302","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"6046","0561600","056160006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"6052","0561831","056180003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",28,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"6054","0561851","056180005","Tidak Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",20,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"6060","0570151","057010006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6064","0570100","057010010","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",20,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Ya"
"6086","0570441","057044102","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",21,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"6088","0570541","057050003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"6090","0570552","057050005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",16,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"6095","0570600","057060005","Mudah Bergaul","Tidak Sehat","Rendah","Agak taat","Laki-laki",30,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6096","0570651","057060006","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",17,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"6101","0570700","057070003","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",28,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6105","0570752","057070007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",29,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6115","0571000","057100003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",19,"Belum Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Ya"
"6116","0571051","057100004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Perempuan",17,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"6128","0571241","057124102","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",25,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"6132","0572800","057130003","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"6148","0571652","057160006","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",29,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"6154","0571751","057170002","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Taat","Laki-laki",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6157","0571742","057170005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"6161","0571751","057170010","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Taat","Perempuan",19,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6170","0571900","057190005","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",23,"Belum Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Ya"
"6172","0571912","057191202","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Taat","Perempuan",24,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"6174","0572000","057200004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",27,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"6177","0572151","057210002","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",30,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6178","0572152","057210003","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"6179","0572153","057210004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"6185","0572252","057220004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Sangat taat","Laki-laki",24,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6186","0572200","057220005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6190","0572300","057230006","Sangat Mudah Bergaul","Sehat","Rendah","Sangat taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6191","0572300","057230009","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",22,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6198","0572400","057240010","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Tidak","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"6199","0572441","057244101","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",30,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"6200","0572541","057250003","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"6208","0572600","057260005","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",16,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6214","0572751","057270005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",20,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"6216","0572752","057270008","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",29,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6223","0572852","057280006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"6226","0572951","057290003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6227","0572900","057290004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Tidak taat","Laki-laki",16,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6231","0573051","057300003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6234","0573000","057300006","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Sangat taat","Laki-laki",27,"Belum Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6238","0580100","058010004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6240","0580141","058014101","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",26,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6242","0580200","058020004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","Di bawah SMA","Desa","Menggunakan Internet","Ya"
"6247","0580451","058040004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Tidak taat","Laki-laki",20,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6259","0580852","058080003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",26,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6261","0580841","058084103","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",16,"Kawin","Ya","SMA/Sederajat","Desa","Menggunakan Internet","Tidak"
"6266","0580941","058090004","Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",26,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"6267","0580951","058090005","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",23,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"6268","0580900","058090006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"6269","0580900","058090007","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",25,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Ya"
"6285","0581300","058130003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",25,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6291","0581541","058150003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"6292","0581531","058150004","Sangat Mudah Bergaul","Sangat Sehat","Rendah","Taat","Perempuan",26,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6293","0581500","058150005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"6300","0581651","058160007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"6301","0581641","058160008","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",28,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
