"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"23932","2560351","256030003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"23933","2560300","256030004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",21,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"23959","2561641","256160004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"23965","2561741","256170003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"23967","2561741","256174103","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",30,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"23982","2570151","257010006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",30,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"23984","2570151","257010011","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",22,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"24045","2571451","257140011","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",25,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"24048","2571542","257150003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",30,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"24058","2571642","257160007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24066","2571641","257164102","Sangat Mudah Bergaul","Sehat","Tinggi","Sangat taat","Perempuan",26,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"24073","2571900","257190004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",21,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"24091","2580352","258030006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
